,Idiom,Meaning,literal_translation,Example,Translation_to_ENG_batch
718,en un abrir y cerrar  de ojos,very quickly; in a flash; in the blink of an eye (lit.: in  the opening and closing of eyes., , ,In a blink of an eye
719,en un decir amén,in a flash; in a jiffy; in next to no time (lit.: in the  saying of amen), , ,in a say amen
720,en vez de,instead of (lit.: in time of), , ,instead of
721,entrar a hurtadillas,sneak in, , ,sneak in
722,entrar a saco,burst in; storm in (lit.: to enter at sack), , ,enter the sack
723,entrar bien,go down well, , ,enter well
724,entrar de maravilla,go down well, , ,enter wonderfully
725,entre algodones,be pampered; be coddled (lit.: between cotton), , ,between cotton
726,entre bromas y veras,half-joking(ly); half-serious(ly) (lit.: between jokes and  truths), , ,between jokes and truth
727,entre manos,on hand; at hand; immediately available, , ,In hands
728,es la salsa de la  vida,it's the spice of life, , ,It is the sauce of life
729,estallar en vivas,burst into applause (lit.: to burst into lives), , ,burst into cheers
730,estar a cargo,be in charge, , ,be in charge
731,estar a dieta,be on a diet (lit.: to be at diet), , ,To be on a diet
732,estar a disgusto,be unhappy; be displeased, , ,be upset
733,estar a la miseria,be in a bad way; be in a bad state, , ,be in misery
734,estar a salvo,be safe; be secure (lit.: to be at saved), , ,Be save
735,estar a tope,be very busy, , ,Be at the top
736,estar abocado al  frasco,be doomed to failure, , ,be doomed to the bottle
737,estar al loro,be on the alert; know the score (lit.: be at the parrot), , ,be on the lookout
738,estar al palo,have an erection; be hard, , ,be on the stick
739,estar al tanto,be abreast; be up to date (lit.: to be at the such), , ,be aware
740,estar como agua para  chocolate,"be at the boiling point (lit.: like water for chocolate.  Indicates a boiling point of anger or passion. Note that this phrase was used  as the title for a movie, translated into English as “Like Water for  Chocolate.”)", , ,be like water for chocolate
741,estar como el burro  del aguador; cargado de agua y muerto de sed,not to see what's right before one's eyes (lit.: be like the  watercarrier's donkey; laden with water and dying of thirst; n.b.: a Mexican  expression), , ,to be like the water bearer's donkey; loaded with water and dying of thirst
742,estar como las  propias rosas,feel entirely at ease, , ,be like the roses themselves
743,estar como tres en un  zapato,be packed like sardines; be crammed in (lit.: be like three  in one shoe), , ,be like three in one shoe
744,estar con el agua al  cuello,be up to one’s neck in problems; be over a barrel (lit.: be  with water at one’s collar), , ,be in water up to your neck
745,estar con el agua al  cuello,be up to one's neck in something (lit.: have water up to  one's neck; n.b.: a Mexican saying), , ,be in water up to your neck
746,estar conforme,be satisfied, , ,be satisfied
747,estar curtido en,"be expert at; be skilled at (lit.: be tanned, hardened in)", , ,be seasoned in
748,estar de bromas,be in a jokeing mood (lit.: to be for jokes), , ,be joking
749,estar de buenas,be in a good mood, , ,be in good shape
750,estar de juerga,go out on the town; party; go clubbing, , ,be on a spree
751,estar de la cabeza,be nuts; be insane, , ,be in the head
752,estar de oferta,be on sale; be discounted, , ,be on sale
753,estar de Rodrígues,be left on one's own (lit.: be Rodrigues; used in Spain), , ,being of Rodrígues
754,estar de siesta,be on break; be on siesta, , ,take a nap
755,estar de viaje,be on vacation; be away (on vacation), , ,be on travel
756,estar de vuelta,be back; have returned., , ,be back
757,estar del tomate,be nuts; be insane (n.b.: not used much anymore), , ,tomato
758,estar en ascuas,be on pins and needles; be on tenerhooks (lit.: to be on  coals), , ,be on tenterhooks
759,estar en Babia,have one’s head in the clouds (lit.: to be in Babia), , ,be in Babia
760,estar en camino,be on the way; be coming, , ,To be on the way
761,estar en el ajo,be involved in; be mixed up in; be in the know (lit.: to be  in the garlic), , ,tell
762,estar en el orno,be in a tight spot; be very anxious (used in Argentina), , ,be in the oven
763,estar en juego,be in play; be up for grabs (lit.: to be in play), , ,be at stake
764,estar en juego,be at stake (lit.: to be in play), , ,be at stake
765,estar en la buena,be in a good mood; be in luck (used in the Andes region), , ,be in the good
766,estar en la luna,be on cloud nine; be out to lunch (lit.: to be on the moon), , ,be in the moon
767,estar en la miseria,be broke; be poor (used in Spain), , ,be in misery
768,estar en su salsa,be in one's element, , ,be in your element
769,estar harto de,be fed up with; have had it with (lit.: to be exhausted)., ,1.  Estoy harto de esto.,be sick of
770,estar hasta el gorro,be fed up; have had it (used in Spain), , ,be over the top
771,estar hasta el moño,be fed up; have had it (used in Spain), , ,be sick and tired
772,estar hasta la  coronilla,be fed up; have had it, , ,be fed up
773,estar hasta las  narices,be fed up; have had it (used in Spain), , ,be fed up
774,estar hasta los  cojones,be fed up; have had it (vulgar), , ,be up to the balls
775,estar hecho un palo,be as skinny as a rake; be very thin, , ,be a mess
776,estar hecho una  flauta,be thin as a rake (lit.: be like a flute), , ,be made into a flute
777,estar loco por algo,be crazy for something; be nuts about something, , ,be crazy about something
778,estar mal de dinero,be hard up; have money problems, , ,hard up
779,estar mal de la  azotea,be off one’s rocker; be nuts; be crazy (lit.: to be bad in  the roof), , ,be sick from the roof
780,estar para el  arrastre,be done in; be dead on one’s feet; have had it (lit.: to be  for dragging), , ,be for the drag
781,estar pedo,be sloshed; be drunk; be pissed; be high, , ,be fart
782,estar que arde,be fuming; be hopping mad; be seething (lit.: to be that  which burns), , ,be on fire
783,estar seguro (de que),be sure; be certain (lit.: to be sure), , ,be sure that)
784,estar sin animo,be down; be in low spirits, , ,be without spirit
785,estar sin pasta,be broke; be poor, , ,be without money
786,estar sin plata,be broke; be poor, , ,be without money
787,estar sin un duro,be broke; be poor (used in Spain), , ,be without a penny
788,esto es el colmo,that’s the last straw, , ,this is the last straw
789,felices sueños,sweet dreams (lit.: happy dreams), , ,Sweet dreams
790,florecer como rosa en  mayo,blossom; flourish; bloom, , ,bloom like a rose in May
791,fuera de control,out of control., , ,out of control
792,fuera de duda,certain; without doubt (lit.: outside of doubt), , ,beyond doubt
793,fuera de modo,out of style; out of fashion, , ,out of mode
794,fulano de tal,somebody or other, , ,so and so
795,"fulano, zutano y  mengano","Tom, Dick, and Harry; everybody", , ,"so-and-so, so-and-so, and so-and-so"
796,ganarse de mano,beat someone to something (lit.: to win for oneself of/from  a hand), , ,win hand
797,gastar una broma a  algn,play a joke on; have fun at someone's expense, , ,play a joke on someone
798,haberse de sentar,hit the spot; agree with (someone), , ,having to sit
799,hablar de,talk about, , ,talk about
800,hablar de bueyes  perdidos,waste one's breath; chat about little things (n.b.: used in  Cono del Sur), , ,talk about lost oxen
801,hacer alharacas,make a fuss; make a big deal about (lit.: to make a fuss), , ,make a fuss
802,hacer caso,pay attention to (lit.: to make a case), , ,heeding
803,hacer chapuzas,do odd jobs; do occasional work, , ,Do shoddy
804,hacer compras,shop; do (the) shopping (lit.: to make/do purchases), , ,go shopping
805,hacer coro a algn,back someone up, , ,make chorus to someone
806,hacer del cuerpo,defecate; move one's bowels (n.b.: euphemism), , ,make of the body
807,hacer el amor con,make love with someone, , ,make love with
808,hacer el favor,"do a favor (lit.: to do the favor. Note that this can, as in  English, be used to give someone a command or order)", , ,do the favor
809,hacer el sol,the sun rises (lit.: to make the sun), , ,make the sun
810,hacer falta,be necessary; must (lit.: to do the lack), , ,need
811,hacer fiaca,sleep in; stay home for the peace and quiet (used in  Argentina), , ,make fiaca
812,hacer frente,confront (lit.: to do the front), , ,face
813,hacer la barba a alg,suck up to someone; butter someone up (lit.: to do the beard  to someone), , ,make someone's beard
814,hacer la compra,do the shopping; buy groceries, , ,Go shopping
815,hacer la cusqui,bug; annoy; irritate, , ,make the cusqui
816,hacer la vista gorda,"ignore; overlook (lit.: to do the fat look. The idea here  being of indulgence, the way a parent or grandparent might look at a  misbehaving child)", , ,turn a blind eye
817,hacer las compras,do the shopping, , ,do the shopping
818,hacer las maletas,pack; pack a suitcase (lit.: to do the suitcases), , ,to pack
819,hacer las paces,make up; make peace (lit.: to make the peace(s)), , ,make peace
820,hacer pucheros,pout; screw up one's face, , ,To pout
821,hacer su agosto,make a killing; make serious coin; hit the jackpot (lit.: to  make/do one’s August), , ,Make your august
822,hacer toros,cut class; skip class (lit.: to the bulls), , ,make bulls
823,hacer trampa(s),cheat (lit.: to do traps), , ,cheating)
824,hacer un papel,play a role; play a part, , ,play a role
825,hacer un papelón,make a fool of oneself; embarras oneself (lit.: to make a  large role), , ,make a mess
826,hacer un simpa,leave a restaurant without paying, , ,make a simpa
827,hacer un toro,stand in for somebody (in a theatrical production) (lit.: to  do the bull), , ,make a bull
828,hacerle frente a alguien,face someone (lit.: to make facing to someone), , ,stand up to someone
829,hacer a pelo y pluma,be AC/DC, , ,do with hair and pen
830,hacerse cargo de,take charge of; pay for; realize, , ,take care of
831,hacerse ilusiones,get one's hopes up, , ,get your hopes up
832,hasta donde,as far as (lit.: up to when), , ,until where
833,hecho una hiena,furious; enraged, , ,made a hyena
834,hija de papá,rich kid; rich girl, , ,daddy's daughter
835,hijo de papá,rich kid; rich boy, , ,daddy's son
836,hoy mismo,today., , ,today
837,ir a golpe de  alpargata,walk; hoof it; go on foot (lit.: go by slapping sandals), , ,go with espadrille
838,ir a medias,go Dutch; go fifty-fifty (used in Spain), , ,go halfway
839,ir a pelo,be naked, , ,go bareback
840,ir de compras,go shopping, , ,go shopping
841,ir de juerga,go out on the town; party; go clubbing, , ,go partying
842,ir de marcha,go out partying, , ,go out
843,ir de tiendas,go shopping (used in Spain), , ,go shopping
844,irse a la cabeza del  toro,grab the bull by the horns, , ,go to the head of the bull
845,irse al otro barrio,kick the bucket (lit.: to go to another neighborhood), , ,go to the other neighborhood
846,justo a tiempo,just in time, , ,just in time
847,la gran flauta,my God! (used to express surprise or disbelief), , ,the great flute
848,ladrar a la luna,waste one’s breath; talk to a brick wall (lit.: to bark at  the moon), , ,bark at the moon
849,llegar a deshora,show up unexpectedly, , ,arrive at the wrong time
850,llegar a tiempo,arrive on time; be on time, , ,arrive on time
851,llegar a un acuerdo,come to an agreement; reach an agreement, , ,reach an agreement
852,llegar tarde,arrive late; be late, , ,to be late
853,llevar a alguien en  andas,carry someone on one’s shoulders (lit.: to carry someone on  a portable platform. An “andas” literally refers to a portable platform), , ,carry someone
854,llevar a cabo,carry out; pull off; make happen (lit.: to carry to end)., ,1. Tendremos una reuníon esta tarde para discutir el,carry out
855,llevar juntos,be together; be involved; be a couple, , ,carry together
856,llevarse bien,get along well, , ,get along
857,llevarse de miedo,get along famously; get along really well, , ,get scared
858,lo antes possible,as soon as possible, , ,as soon as possible
859,los de arriba,the people on top; the upper crust (lit.: those above), , ,those above
860,los pros y las  contras,the pros and the cons, , ,the pros and cons
861,lotería,bingo; got it (n.b.: said when finding something or  experiencing a stroke of good luck), , ,lottery
862,maldita sea,damn it; darn it (lit.: may it be damned), , ,damn
863,mandar a paseo,tell someone to take a hike, , ,send for a walk
864,mande,"what; please; how's that (used in Mexico as we in English  say ""what"" when we want someone to repeat or clarify something)", , ,What
865,mantener a raya,keep someone at bay; keep someone away, , ,keep to line
866,mantenerse en su  sitio,stick to one's guns; stand one's ground (lit.: maintain  oneself in one's position), , ,stay in place
867,mantenerse en sus  trece,stick to one's guns; stand one's ground (lit.: maintain  oneself in one's thirteen), , ,stick to your guns
868,mas o menos,more or less; roughly; approximately (lit.: more or less), , ,more or less
869,más tieso que un palo,straight; upright; bolt upright, , ,as stiff as a poker
870,mayor de edad,of age, , ,adult
871,media naranja,"better half; spouse, wife, partner (lit.: half of an orange)", , ,half orange
872,media pila,minimal effort; some effort; enough effort to accomplish  something but no more (lit.: half a battery), , ,average stack
873,menor de edad,underage, , ,younger
874,menos mal,"just as well, good thing, thank goodness (lit.: less bad)", , ,goodness
875,meter en líos,get into trouble (lit.: to put into trouble), , ,get into trouble
876,meter palos en las  ruedas,throw a (monkey) wrench in the works; throw a spanner in the  works, , ,put spokes in the wheels
877,meter(se) la pata,get involved; become a part of (lit.: to put in the leg  (animal’s paw)), , ,screw up
878,metete un pelo en el  culo,stick it up your ass, , ,put a hair in your ass
879,mi/tu abuela,my foot (lit.: grandmother), , ,my/your grandmother
880,mientras tanto,"meanwhile, in the meantime (lit.: to the monkfish)", , ,meanwhile
881,mirar de reojo,look at out of the corner of the eye, , ,look askance at
882,mirar por encima,glance at; look quickly through, , ,look down on
883,momento,wait; wait a second; wait a moment (used when asking someone  to wait briefly), , ,moment
884,montar a pelo,ride bareback, , ,bareback riding
885,montar un negocio,set up a business; start a business (used in Spain), , ,to set up a business
886,morirse de risa,die laughing, , ,hilarious
887,mostrar tino,"show good sense; be right (lit.: to show sound judgment,  good sense)", , ,show cleverness
888,nada del otro mundo,nothing special, , ,nothing special
889,nadar en la  abundancia,be rolling in dough; be made of money (lit.: to swim in  abundance), , ,live on the fat of the land
890,necesitar como agua de  mayo,absolutely need something; really need something; must have  something, , ,need like water in May
891,ni a palos,no way; not on your life, , ,not even with sticks
892,ni en broma,no way; not on your life (lit.: not even as a joke), , ,No kidding
893,ni pizca de,not even a shred of (lit.: not even a pinch of), , ,not a hint of
894,ni rastro,no sign; no hint (of something), , ,no sign
895,no abrir la bolsa,be tight with money;, , ,do not open the bag
896,no caber ni un  alfiler,be completely packed; be jammed; be stuffed (lit.: no even  fit in a pin), , ,not even a pin fits
897,no caérsele los  anillos a algn,not to be beneath one; not be beneath one’s dignity (lit.: to  not have one’s rings fall off), , ,Don't drop someone's rings
898,no dar ni golpe,do nothing; not do anything; be idle, , ,don't even hit
899,no es cosa mía,it’s not my business; it’s not my affair, , ,it's not my thing
900,no estar para bromas,be in no mood for jokes (lit.: not to be for jokes), , ,not being there for jokes
901,no importar un ardite,"could not care less; not give a hoot/damn (lit.: not be  worth an “ardite,” an old coin of little value)", , ,not giving a damn
902,no llevar nada encima,not have any money with, , ,don't carry anything on you
903,no necesitar abuela,be full of oneself; blow one’s own horn (lit.: not to have a  grandmother), , ,don't need grandma
904,no pararse en barras,stop at nothing (lit.: not to stop at the bars [laws]), , ,stick at nothing
905,no pasa nada,no problem; not big deal, , ,no problem
906,no poder con su alma,be exhausted; be fed up; be unable to take it anymore (lit.:  not to be able with one’s soul), , ,not be able to with your soul
907,no se oía ni una  mosca,you could have heard a pin drop (lit.: no even a fly could  be heard), , ,not a fly could be heard
908,no ser ni carne ni  pescado,be neither one thing nor the other (lit.: not be fish or  fowl), , ,be neither meat nor fish
909,no tener abuela,be full of oneself; blow one’s own horn (lit.: not to have a  grandmother), , ,not having a grandmother
910,no tener arte ni  parte,have nothing to do with something at all (lit.: not to have  art or part), , ,have no art or part
911,no tener pelos en la  lengua,not mince words; be a straight shooter, , ,not mince words
912,no tiene caso,it is completely pointless; it is a waste of time, , ,there is no point
913,no ver el pelo a algn,not see hide or hair of someone, , ,not to see someone's hair
914,nunca se sabe,you never know; you never can tell, , ,you never know
915,otra vez,again; once more, , ,again
916,pagar a plazos,pay for something in installments, , ,pay in installments
917,para colmo de  desgracias,to top it all; to top it off (lit.: for the height of  disgrace), , ,to make matters worse
918,para colmo de males,to make matters worse, , ,to make matters worse
919,para diario,everyday, , ,for daily
920,parecer otro/-a,look great; look fantastic, , ,look like someone else
921,partirse el alma,make someone’s heart bleed (lit.: my soul is separated from  me), , ,break your soul
922,pasar a buscar,pick up; collect; get, , ,pick up
923,pasar de la raya,cross the line (lit.: to pass over the line), , ,cross the line
924,pasar el mono a pelo,go cold turky, , ,pass the monkey bareback
925,pasar por alto,pass over; overlook; ignore (lit.: to pass by high), , ,ignore
926,pasarlo bomba,have a great time (lit.: to pass the bomb), , ,have a blast
927,pedir la luna,ask the impossible (lit.: to ask for the moon), , ,ask for the moon
928,pegar el ojo,fall asleep; sleep (lit.: to stick the eye), , ,close your eye
929,perder la cabeza,fall madly in love with someone, , ,lose one's head
930,pez gordo,fat cat; big cheese; big cheese (lit.: fat fish), , ,fat fish
931,poner a salvo,save; rescue (lit.: to put to saving), , ,keep save
932,poner el dedo en la  llaga,hit a raw nerve (lit.: to put the finger in the ulcer), , ,put your finger on the sore
933,poner en camino,"get underway; be underway (lit.: to put onself on road, on  route)", , ,put on the road
934,poner en cintura,reign in (lit.: to put a belt on), , ,put on waist
935,poner en marcha,start; begin; put into action, , ,start
936,poner en su sitio a  alguien,put someone in his/her place (lit.: to place someone in  her/his site), , ,put someone in their place
937,poner la mesa,set the table, , ,set the table
938,poner mala cara,pout; grimace; give a dirty luck, , ,Bad faced
939,poner toda la carne  en el asador,pull out all the stops, , ,put all the meat on the grill
940,ponerse a dieta,go on a diet, , ,go on a diet
941,ponerse como una  hiena,get pissed; be furious; hit the roof, , ,look like a hyena
942,ponerse de acuerdo,agree; come to an agreement, , ,agree
943,ponerse de novio,have a relationship; be serious with somebody, , ,get married
944,ponerse de pie,stand up (lit.: to put oneself on foot), , ,stand
945,ponerse en contra,be against; protest; stand against, , ,go against
946,ponerse las pilas,force oneself; push oneself (lit.: put batteries in oneself), , ,To put the batteries
947,ponerse pedo,get drunk; get sloshed; get pissed; get high, , ,fart
948,por (el) amor de Dios,for the love of God (n.b.: exclamation similar to the one in  English in usage), , ,for the love of God
949,por adelantado,"early, beforehand (lit.: by earliness)", , ,in advance
950,por casualidad,"by coincidence, by any chance (lit.: by coincidence)", , ,by chance
951,por cierto,by the way; incidentally, , ,by the way
952,por debajo de agua,under the table, , ,under water
953,por el contrario,on the contrary (lit.: by its sight), , ,on the contrary
954,por el momento,for now (lit.: by the moment), , ,for now
955,por el otro lado,on the other hand, , ,on the other hand
956,por eso,so; thus; then; next, , ,that's why
957,por estos rumbos,in this neck of the woods; around here, , ,in these directions
958,por fin,finally, , ,at last
959,por fortuna,fortunately, , ,Fortunately
960,por la buena,nicely; without being forced, , ,for the good
961,por la flauta,oh dear! (used to express surprise or frustration), , ,by the flute
962,por la mala,only when pushed; only when forced, , ,for the bad
963,por la verga grande,"in the back of beyond; in the sticks; in the boonies  (coarse, vulgar expression)", , ,by the big cock
964,por lo general,generally; in general, , ,in general
965,por lo menos,at least; at a minimum (lit.: at/by the least), , ,at least
966,por lo pronto,in the meantime; meanwhile., ,"1. Vea, por lo pronto existe una tercera opcíon.",for now
967,por lo regular,normally, , ,normally
968,por lo tanto,thus; therefore (lit.: by its sight), , ,therefore
969,por lo visto,apparently; it seems (lit.: by its sight), , ,apparently
970,por los pelos,by the skin of one's teeth, , ,by the hair
971,por menos de nada,for nothing; for less than nothing, , ,for less than nothing
972,por otra parte,on the other hand, , ,besides
973,por pedido de,at the request of, , ,by request of
974,por si acaso,just in case, , ,just in case
975,por si fuera poco,to add insult to injury, , ,and if that was not enough
976,por si las moscas,just in case, , ,just in case
977,por siempre,forever (lit.: for always), , ,forever
978,por suerte,"luckily, fortunately (lit.: by luck)", , ,Fortunately
979,por supuesto,of course (lit.: by supposed), , ,of course
980,por todos los  rincones,in every nook and cranny, , ,in every corner
981,por un lado,on the one hand, , ,on the one hand
982,por un pelito,by very little; by a second, , ,for a hair
983,por un pelo,by a hair; just., , ,by a hair
984,por un pelo de rana,by very little; by a second; by the skin of one's teeth, , ,for a frog's hair
985,por una  parte,on the one hand (lit.: for one side), , ,On one side
986,primero que nada,most of all; first and foremost, , ,first of all
987,proquería,"junk, trash; junk food", , ,proquería
988,qué cosa,what a situation; what a mess, , ,what thing
989,qué lástima,what a shame; what a pity, , ,what a pity
990,que onda,"what's up; what's going on (lit.: what wave, and used as a  question; n.b.: most common in Mexico)", , ,What's up
991,qué sé yo,"whatever, and so on (lit.: what I know, as if I know)", , ,what do I know
992,que te mueres,fantastic; great; to die for, , ,that you die
993,quedarse bien,look good on; fit well; suit, , ,stay well
994,querer decir,mean; want to say, , ,mean
995,quitar el sombrero  hasta alg.,doff one’s hat to; take one’s hat of (in recognition of  admiration), , ,remove the hat to something
996,regalarse,give; let me have (lit.: to give oneself; n.b.: used in  Costa Rica; e.g.: ‘regalame’ to mean ‘give me’ something in a store), , ,give away
997,reirse la gracia a  algien,humor someone (lit.: to laugh with someone), , ,laugh at someone
998,repartirse el pastel,divide up the pie, , ,share the cake
999,rodar por algn,be at someone's beck and call, , ,roll for something
1000,rumbo a,in the direction of; toward, , ,Course to
1001,sabelotodo,know it all, , ,smarty
1002,saber dónde aprieta  el zapato,know the score; know the situation (lit.: know where the  show pinches), , ,know where the shoe pinches
1003,sabi(h)onda mandona,little miss know-it-all, , ,wise(h)onda bossy
1004,sabi(h)ondo/a,know it all, , ,wise
1005,sacar a algn de  quicio,drive someone crazy; drive someone up a wall, , ,get someone mad
1006,sacar de un apuro,get somebody out of a tight spot, , ,pull through
1007,sacar los colores a  alguien,make someone blush (lit.: to take out the colors from  someone), , ,bring out the colors in someone
1008,sacar pecho,brag; show off (lit.: to stick out chest), , ,chest out
1009,sacarse de encima,come out on top (lit.: to take oneself out at top), , ,get rid of
1010,sacarse la mugre,have a nasty accident, , ,get rid of the dirt
1011,sacarse la mugre,work like a dog (n.b.: used in Cono del Sur), , ,get rid of the dirt
1012,salir adelante,get ahead, , ,get ahead
1013,salir de las llamas y  caer en las brasas,jump out of the frying pan and into the fire, , ,come out of the flames and fall into the embers
1014,salir de marcha,go out partying, , ,go out
1015,salir de un apuro,get out of a tight spot (lit.: leave a predicament), , ,pull through
1016,salir juntos,date; go out; be seeing (used to describe a couple in a  relationship), , ,to leave together
1017,Santa Bárbara,"Heaven help us (n.b.: Saint Barbara’s help is invoked to  protect one from danger, esp. in some traditions, from fire and storms)", , ,Saint Barbara
1018,santo cielo,"heavens; good heavens (n.b.: popularly used as an expression  of suprise, often as a euphemism for something stronger)", , ,My God
1019,santo Dios,"good God; great God (n.b.: popularly used as an expression  of suprise, often as a euphemism for something stronger)", , ,Holy God
1020,se trata de,it's about; it has to do with; you're supposed to…, , ,is about
1021,seguido,"often (n.b.: Mexican, used more often than ‘frequentemente’)", , ,Following
1022,según dice,according to (lit.: following (it) says), , ,as he says
1023,ser agua pasada,be water under the bridge; be done; be over with (lit.: to  be water passed by), , ,be water gone
1024,ser al mando,be at someone’s command, , ,be in charge
1025,ser de bronce,be rigid; be inflexible (lit.: be of bronze), , ,be of bronze
1026,ser de carne y hueso,be only human., , ,be of flesh and blood
1027,ser de corta edad,be young, , ,be young
1028,ser de dos pelos,be two-faced (used in Cono del Sur), , ,be two-haired
1029,ser de edad avanzada,be old; be elderly, , ,be of advanced age
1030,ser el colmo de los  colmos,be the limit; be the worst, , ,be the last straw
1031,ser la monda,be a blast; be really funny, , ,be cool
1032,ser más listo que el  hambre,be sharp as a tack; be very quick (lit.: be more clever than  hunger), , ,be smarter than hunger
1033,ser otro asunto,be different; be something else, , ,be another matter
1034,ser pan comido,be a piece of cake (lit.: to take out the colors from  someone), , ,be a cinch
1035,ser toro corrido,be an old hand at (lit.: be a bull [that has] run), , ,be a bull run
1036,ser un muermo,be a drag; be a bore (used in Spain), , ,be a glanders
1037,ser un pelo,be very skinny; be very thin, , ,be a hair
1038,servir lo mismo para  un barrido que para un fregado,be a jack of all trades; be handy (lit.: to serve equally as  for sweeping or for scrubbing), , ,serve the same for sweeping as for scrubbing
1039,sin apuros,without pressure; without embarassment., , ,no rush
1040,sin duda,without doubt; doubtlessly., , ,definitely
1041,sin embargo,"nevertheless, nonetheless (lit.: to have sense)", , ,however
1042,sito de ligar,singles' bar; pickup joint (used in Spain), , ,dating site
1043,sobrio como una cuba,drunk (lit.: sober like a wine cask), , ,sober as a stone
1044,soltar el toro a algn,scold somebody severely (lit.: jump the bull to someone), , ,release the bull to someone
1045,soltar la risa,burst out laughing, , ,let the giggle go
1046,soltarse el pelo,let one's hair down, , ,let your hair down
1047,subirse a las barbas  de alg.,be fresh with someone; be too familiar or friendly with  someone (lit.: to go up the beard of someone), , ,get on someone's beard
1048,sueño de oro,"one's heart's desire; one's dream (lit: dream of gold; A  sueño de oro is one's innermost, deepest desire)", , ,golden dream
1049,tal vez,"probably, maybe, perhaps", , ,maybe
1050,tarde o temprano,sooner or later (lit.: late or early), , ,sooner or later
1051,tele,tv; telly; television, , ,TV
1052,tener a alg. en  ascuas,keep someone in suspense; keep someone on tenderhooks (lit.:  to have someone on coals), , ,have someone on embers
1053,tener animo,be enthusiastic; be in the mood for, , ,have courage
1054,tener buen tipo,have a good figure; have a good body (used in Spain), , ,have a good type
1055,tener buen vino,be able to handle one's alcohol, , ,have good wine
1056,tener ciudado,be careful (lit.: to have care), , ,be careful
1057,tener el alma en un  hilo,be on pins and needles; have one’s heart in one’s mouth; be  on tenderhooks (lit.: to have the soul in/by a string), , ,have your soul on a thread
1058,tener en cuenta,bear in mind; keep in mind (lit.: to have in account), , ,consider
1059,tener en mente,keep in mind; have in mind, , ,keep in mind
1060,tener ganas (de),feel like (lit.: to have urges/desires), , ,feel like)
1061,tener gracia,be funny; be amusing (lit.: to have grace), , ,have grace
1062,tener harto,be fed up (lit.: to have exhausted), , ,have enough
1063,tener hasta acá,have had enough (lit.: to have up to here), , ,have up to here
1064,tener la culpa,be to blame; be one’s fault (lit.: have the blame), , ,be to blame
1065,tener las manos  largas,be light-fingered (lit.: have large hands), , ,have long hands
1066,tener lugar,take place (lit.: to have place), , ,occur
1067,tener mal vino,be unable to handle one's alcohol (lit.: to have bad wine), , ,have bad wine
1068,tener mala leche,have a mean streak (lit.: to have bad milk), , ,have bad temper
1069,tener miedo (de),be afraid; be fearful; be scared (lit.: to have fear), , ,to be afraid of)
1070,tener paciencia,be patient, , ,have patience
1071,tener prisa,be in a hurry; be in a rush (lit.: to have  hurry/haste/rush)., ,1. Ahora tenemos un poco de prisa.,to be in a hurry
1072,tener que,have to; must, , ,must
1073,tener razón,be right (lit.: to have reason), , ,be right
1074,tener sed,be thirsty, , ,be thirsty
1075,tener sentido,make sense (lit.: to have sense), , ,make sense
1076,tener suerte,be lucky; be fortunate (lit.: to have luck), , ,get luck
1077,tiempo de perros,foul weather; horrible weather (lit.: weather for dogs), , ,nasty weather
1078,tirar el dinero,throw money out the window, , ,Throw the money
1079,tirar por el atajo,take the easy way out (lit.: throw for the shortcut), , ,take the shortcut
1080,tirarse un pedo,fart (n.b.: colloquial), , ,fart
1081,tocar diana,sound reveille (n.b.: diana means bull's-eye), , ,touch reveille
1082,todo el mundo,everyone; everybody (lit.: all the world)., ,1. Todo el mundo  quiere estar sano.,everyone
1083,todo hijo de vecino,"every Tom, Dick, and Harry; everyone (lit.: every neighbor's  child)", , ,every neighbor's son
1084,todo un poco,a little of each; a little of everything, , ,everything a little
1085,tomar el pelo a  alguien,be kidding; pull someone’s leg (lit.: to pull the hair of  someone), , ,Teasing someone
1086,tomar el sol,sunbathe; soak up rays; catch some rays, , ,sunbathe
1087,tomar en cuenta,bear in mind; keep in mind, , ,consider
1088,tomar nota(s),take notes; make a note of, , ,take notes)
1089,trabajar el doble,work overtime; work extra, , ,work double
1090,traje de Adán,in one’s birthday suit; naked (lit.: in Adam’s clothes), , ,Adam suit
1091,tratarse,have to do with; be (lit.: to treat. Used with the  preposition “de”), , ,treat
1092,un ojo de la cara,a fortune; an arm and a leg, , ,an eye of the face
1093,un pelo,a little bit; a small amount, , ,a hair
1094,una y otra vez,again and again (lit.: one and another time), , ,and again
1095,valer la pena,be worth; be worthwhile (lit.: to be worth the pain)., ,1. No  vale la pena de ir.,worth
1096,venir a golpe de  alpargata,walk; hoof it; go on foot (lit.: go by slapping sandals), , ,come with an espadrille
1097,venir como agua de  mayo,come at just the right time; be just what you need (lit.: come  like water in May), , ,come like May water
1098,venir como anillo al  dedo,be a godsend; come at just the right time (lit.: come like a  ring to the finger), , ,fit like a glove
1099,vivir del paro,live off of unemployment (used in Spain), , ,live off unemployment
1100,vivir en la luna,be on cloud nine; be out to lunch (lit.: to be on the moon), , ,live on the moon
1101,volverse loco,go insane; go mad, , ,go mad
1102,ya es hora,it's about time, , ,it's time
1103,ya que,since; because, , ,given that
1104,yo que se,how would I know? (lit.: I know what?), , ,I do not know
1105,zurrar la badana a  alg.,beat someone up; give someone a good tanning; tan someone’s hide (lit.:  thrash the tanned sheepskin of someone), , ,spank someone's chamois
