Idiom,Part_of_Speech,Meaning,Example
goofus,n.,"dumb, oafish  person", 
goofy,adj.,silly;  inanely, 
google,v.,use Google or a  similar search engine find something online, 
gook,n.,Korean; Korean  person, 
goombah,n.,good friend;  pal, 
goose egg,n.,zero; score of  zero.,My score on the test: goose egg.
gopher,n.,somebody whose  job is to fetch or bring trivial items to more important people, 
gorilla juice,n.,steroids;  anabolic steriods, 
Gorillas in the Mist,adj.,pissed;  drunk; intoxicated, 
gorked,adj.,anesthetized;  unresponsive and not speaking, 
gorp,n.,"trail mix, i.e.  a mixture of dried fruit, nuts, and small candies", 
gotcha,n.,you are caught;  I see what you are doing; I understand what you are saying, 
GPO,abbr.,good for  parts only, 
GR8,abbr.,great minds  think alike, 
grand,n.,thousand  dollars.,I paid three grand for that plasma T
gravy train,n.,work situation  that provides stable income, 
grease,n.,protection  money paid to organized crime groups, 
greaser,n.,aggressive  young male (often with air slicked back with grease), 
greasy spoon,n.,restaurant with  poor quality food and hygeine, 
green,adj.,inexperienced; without know-how, 
green,adj.,raw;  inexperienced; new to something, 
grinder,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables (used in the Boston area)", 
gripe,v.,complain, 
grit,n.,verve; courage.,"""True Grit"" (movie title). 2. Show some grit and fight."
grody,adj.,repulsive;  disgusting, 
grody to the max,adj.,extremely  repulsive or disgusting, 
grok,v.,understand;  comprehend, 
groovy,adj.,cool; nice;  excellent (anacrhonistic), 
gross,adj.,disgusting;  repulsive; vulgar, 
gross somebody out,v.,"show or tell somebody  something disgusting, repulsive or vulgar", 
gross-out,n.,"something  disgusting, repulsive, or vulgar", 
grottiness,n.,low quality;  unpleasantness, 
grotty,adj.,low quality;  unpleasant, 
ground-pounder,n.,infantryman, 
grub,n.,"hardworking,  serious student", 
grub,n.,"messy, dirty  perso", 
grub,n.,food.,What  does someone have to do in this diner to get some grub?
grub,n.,food; meal, 
grubby,adj.,messy; dirty;  unclean; unkempt, 
grunt,n.,infantryman;  now also used to mean a government reject unfit for normal training., 
GSW,abbr.,gunshot  wound, 
guber,n.,pimple, 
gults,n.,gluteus maximus  muscles (buttocks muscles), 
gun,n.,bodyguard;  assassin; hired gunman, 
gun,v.,rev up an  engine, 
gun bunny,n.,artilleryman, 
gunk,n.,"disgusting,  messy substance of any sort", 
gunner,n.,"hardworking,  serious student", 
gunner,n.,medical student  working hard for high grades or evaluations, 
gusto,n.,verve; courage, 
gut,adj.,fundamental;  basic, 
gut,n.,abdomen; belly;  intestines, 
gut,n.,fat belly on a  man, 
gut out,v.,endure;  persist; persevere, 
guts,n.,verve; courage.,"He's got guts, arguing with the judge in court."
guzzler,n.,vehicle that  uses a lot of gasoline, 
habu,n.,pilot of the  SR-71, 
habu,n.,SR-71 (also  called the Blackbird) aircraft, 
hack,n.,cough, 
hack,n.,author or  writer who creates material (often of low quality) to order.,He's just a  hack and can't really write well.
hack,n.,taxi; taxicab, 
had,adj.,deceived;  cheated; swindled, 
hairy,adj.,risky;  difficult; tricky, 
half-assed,adj.,awkward;  inefficient; useless, 
half-pint,n.,"very short,  usually slender peson (typically male)", 
halvsies,adj.,two people  each paying for half of something (often a meal), 
hammer,n.,accelerator  pedal in a vehicle, 
hammy,n.,hamstring(s).,I pulled a hammy while running away from that mugger.
hand job,n.,sexual  stimulation of a penis, 
hang a left,v.,make a left  turn, 
hang a right,v.,make a right  turn, 
hang five,v.,surf while  standing towrd the front of the board, 
hang it,exclam.,damn it;  darn it (said to express frustration or exsaperation), 
hang loose,v.,be cool; relax;  be calm, 
hang ten,v.,surf while  standing towrd the front of the board, 
hang tough,v.,maintain one's  ideas or attitudes, 
hang-up,n.,problem;  obsessoin; concern(s), 
hard up,adj.,"desperate for  company, attention, or affectio", 
hard-on,n.,erection  (penile), 
hard-pressed,adj.,difficult;  under pressure; with difficulty.,I'd be hard pressed to loan you any money  because I've got so little.
hardware,n.,weapons; guns, 
harsh,adj.,rude; cruel, 
has-been,n.,person who used to be famous or popular but is now almost forgotten, 
hate somebody's guts,v.,hate somebody  with a passion, 
haul ass,v.,move quickly  out of a location, 
haul asss,v.,hurry out of a  place.,Time to haul ass out of here before the cops show up.
have a crush on,v.,"have feelings  of love, romantic desire, or sexual attraction (usually among teenagers)", 
have a row,v.,"have an  argument, dispite, or angry discussion", 
have a shit-fit,v.,"have an angry  fit, a temper tantrum", 
have been had,v.,"have been  cheated, deceived, or fooled", 
have it together,v.,be organized  physically and mentally; be in a good position or situation, 
have shit for brains,v.,be extremely  dumb, 
have the hots,v.,be romantically  or sexually attracted to or aroused by somebody, 
have to fly,v.,have to depart  immediately, 
head,n.,person, 
head,n.,toilet;  bathroom; restroom, 
head spoon,n.,mess sergeant, 
heap,n.,"old, unreliable  vehicle (usually a car) in poor condition", 
heavy,adj.,serious;  important; significant, 
heavy,n.,bad guy;  antagonist; villain, 
hellhole,n.,a dangerous  (often hot) place, 
hep,adj.,informed; up  to date; current, 
herd cats,v.,do the  impossible, 
here's the deal,v.,"here is the  idea, plan, or situation", 
hero,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
hick,n.,"person from a  small, rural town and possessing little education or manners", 
hickey,n.,love bit; mark  on skin from biting or sucking, 
hicksville,n.,"small, rural  town where people with little education or manners live", 
hicky,n.,love bit; mark  on skin from biting or sucking, 
high,adj.,"very pleased,  amused, happy, or euphoric", 
high,adj.,intoxicated  from alcohol or drugs, 
high five,n.,two people  striking the palms of their raised hands together as a form of agreement or  greeting, 
hillbilly,n.,Often used as an insult and racial slur against White folks who live in the country., 
hillbilly armor,n.,improved armor  for vehicles made from scavenged metal, 
hip,adj.,informed; up  to date; current, 
history,n.,something or  somebody that is no longer relevant, 
hit,n.,success;  something approved of or highly regarded, 
hit the books,v.,study or review  school material diligently, 
hit the bricks,v.,begin walking, 
hit the fan,v.,become a  scandal; become known to the public, 
hit the pavement,v.,begin walking, 
hit the sack,v.,go to bed; get  in bed, 
ho,n.,prostitute;  whore, 
hoagie,n.,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables", 
hoe,n.,prostitute;  whore, 
hog,v.,use all of; use  a great deal of; take up most or all of something.,Don't hog all the pizza.  I want some too.
hog,n.,motorcyle, 
hoi polloi,n.,common people;  everyday people, 
hole up,v.,hide; conceal  oneself, 
holy shit,exclam.,"a strong  expression of surprise, fear, or disbelief.",Holy shit! I don't believe it.
home run,n.,"act of sexual  intercourse (used as a way to mark ""progress in sex, especially among  youth)", 
homeboy,n.,good male  friend, 
homegirl,n.,good female  friend, 
homes,n.,neighbor;  companion, 
homey,n.,good friend.,My homies all think I look good in black.
homo,n.,homosexual  (typically male), 
honcho,n.,boss; leader, 
honker,n.,nose, 
honker,n.,"nose, esp. a  large nose", 
honker,n.,the nose (often  a large nose).,Check out that guy's honker. It's enormous.
honkers,n.,woman's breasts  (usually large or otherwise remarkable), 
honkey,adj.,"of or  pertaining to white (Caucasian) behavior, ideas, etc.", 
honkey,n.,white  (Caucasian), 
honkie,adj.,"of or  pertaining to white (Caucasian) behavior, ideas, etc.", 
honkie,n.,white  (Caucasian), 
hooch,n.,"simple housing,  from hut to barracks", 
hood,n.,hoodlum; thief;  criminal, 
hood,n.,neighborhood;  immediate area where one lives, 
hood,n.,neighborhood;  inner-city neighborhood or area controlled by a gang, 
hooked,adj.,addicted, 
hooker,n.,prostitute;  whore, 
hoops,n.,basketball, 
hoops,n.,"basketball (the  game, not the ball itself)", 
hoot,adj.,fun; amusing;  entertaining.,"That party was a hoot, totally fun."
hoot,n.,something  humourous; joke, 
hoot,v.,boo; make  catcalls, 
hoot,v.,laughly loudly  and deeply, 
hooters,n.,a woman's  breasts (jocular and offensive; used almost exclusively by men); name of a  restaurant where the waitresses tend to have large breast and wear tight  T-shirts.,Get a load of her hooters.
hopped up,adj.,under the influence  of drugs, 
horny,adj.,sexually  aroused; wanting sexual activity, 
horse hockey,n.,horse dung;  horse feces; nonsense, 
horse's ass,n.,"obnoxious, dumb  person", 
horseshit,n.,nonsense;  rubbish; foolish talk or ideas.,Don't give me any horseshit.
hose,v.,"cheat, lie, or  deceive somebody", 
hose,n.,penis, 
hoser,n.,idiot; moron;  dumb person, 
hot,adj.,angry; upset, 
hot,adj.,famous;  well-known, 
hot,adj.,regularly  winning at gambling, 
hot,adj.,stolen;  wanted by the authorities, 
hot,adj.,sexy (for  women in particular), 
hot car,n.,stolen vehicle, 
hot item,adj.,item that  sells rapidly or successfully, 
hot item,n.,romantically  involved couple, 
hot number,n.,sexually  appealing person (usually a woman), 
hot number,n.,"sexy, appealing  person (usually a woman)", 
hot pants,n.,pants that make  a woman look sexually appealing (usually tight), 
hot shit,n.,pesron (usually  male) who believes he is great, 
hot tot,n.,"preadolescent  girl who dresses and behaves in a shallow, sexual manner", 
hot under the collar,adj.,angry; upset, 
hotdog,v.,show up;  perform difficult and spectacular moves (in skiing), 
hottie,n.,"sexy, appealing  person (usually a woman)", 
howl,n.,something  amusing or entertaining, 
howler,n.,"amusing, large  error", 
hump,v.,have sexual  relations, 
hump day,n.,Wednesday (so  called because it is the middle of the week), 
hungry,adj.,ambitious;  eager for success and willing to work hard for it, 
hunk,n.,"physically  attractive, handsome male", 
hunk of ass,n.,potential  partner for sex (usually a woman), 
hunk of tail,n.,potential  partner for sex (usually a woman), 
hurl,v.,throw up; vomit, 
hurting,adj.,in great pain, 
hush puppy,n.,cornmeal  dumpling that is deep fried, 
hustle,n.,plan for making  money (usually through deception), 
hustle,v.,act quickly;  rush; hurry, 
hustle,v.,make efforts  (usually with one's own abilities) to earn money, 
hustler,n.,pool hall  gambler, 
hustler,n.,swindler;  someone who deceives people out of money, 
hyped,adj.,exaggerated;  promoted inaccurately, 
hyped,adj.,stimulated;  excited; eager, 
hyper,adj.,excited;  eager, 
hyper,n.,person who is  easily or frequently very excited or active, 
ice,n.,methamphetamine, 
ice,n.,methylenedioxymethamphetamine  (MDMA, 
ice,n.,smokable  methamphetamine, 
ick,exclam.,nasty;  ugly; unappealing, 
icky,adj.,unappealing;  disgusting, 
ICU,abbr.,intensive care  unit.,That car crash put him in the ICU for two weeks.
idiot light,n.,red or flashing  lights on dashboard panel of a car that warn the driver of a problem, 
IIRC,abbr.,if I  recall/remember correctly, 
I'll be damned,idiom.,no way; really; what a surprise.,I'll be damned.  That really is true.
I'll be damned (if),idiom.,there is no way that; I will not under any  circumstancesâ€¦.,I'll be damned if I'm going to do that.
IMHO,abbr.,in my humble  opinion, 
IMO,abbr.,in my  opinion, 
in,adj.,"fashionable,  trendy", 
in a bad way,adj.,in a poor  position; in a bad mood, 
in a New York minute,idiom.,right away; immediately; in a heartbeat.,Would you  sleep with him? In a New York minute.
in a snit,adj.,irritated;  upset; angry, 
in bad shape,adj.,injured; in  poor (physical) conditio, 
in deep,adj.,very much  involved in something, 
in play,adj.,active; being  played (said in sports), 
in the bag,adj.,done;  obtained; completed, 
in-country,n.,nation outside  the U.S. where a soldier is stationed, 
intense,adj.,"important,  serious, significant", 
IOW,abbr.,in other  words, 
IRC,abbr.,Internet  relay chat, 
iron,n.,gun, 
ISTM,abbr.,it seems to  me, 
ivories,n.,piano keys, 
jack,n.,Jack Daniel's  whiskey.,"Give me a glass of jack, straight."
jack,v.,steal a car  with a driver or passenger in it.,My car got jacked but at least I'm all  right.
jack around,v.,mess around; do  little or nothing; waste time, 
jack off,v.,waste time or  energy; do little or nothing, 
jack off,v.,masturbate (men  only), 
jack off,v.,masturbate  (said of men), 
jack up,v.,motivate or  stimulate somebody or something, 
jack up,v.,raise the price  of something, 
jacked,adj.,damaged;  injured; harmed; messed up, 
jacked up,adj.,"aroused,  excited", 
jacked up,adj.,upset;  distressed, 
jacknife,v.,"fold in; fold  in half (said of a tractor-trailer that forms a ""V"" shape after a  collision)", 
jackshit,n.,nothing;  nothing at all, 
Jag,n.,Jaguar car, 
jam,n.,problem;  difficulty, 
jam,v.,play musical  instruments together in an improvisational style, 
jammed up,adj.,in  difficulty; in trouble, 
jammed up,adj.,stuffed with  food; constipated, 
jamming,adj.,very good;  excellent; outstanding, 
jaw,v.,chat; talk  nonsense, 
jay,n.,marijuana  cigarette, 
jazz up,v.,make somebody  or something more interesting or sexually appealing, 
jazzed,adj.,excited; in a  good frame of mind, 
jazzed up,adj.,excited; in a  good frame of mind, 
jazzy,adj.,appealing;  enticing, 
jerk,n.,"dumb,  unappealing person", 
jerk around,v.,harass or waste  somebody's time, 
jerk off,v.,waste time or  energy; do little or nothing, 
jerk off,v.,masturbate (men  only), 
jerk off,v.,masturbate  (said of men), 
jerry-rigged,adj.,temporary and  inefficient (solution to a problem), 
jive,adj.,inaccurate;  deceptive; flashy but meaningless, 
jive,n.,"lie; lies,  nonsense", 
jive,n.,retort; back  talk, 
jive,n.,drugs, 
jive talk,n.,slang;  currently popular words and phrases, 
jive turkey,n.,dumb person, 
jive-ass,adj.,nonsensical, 
jock,n.,athlete;  athletic supporter (clothing), 
Joe Six-Pack,n.,ordinary man  (typically one who sits in front of the television and drinks beer), 
joggers,n.,jogging shoes;  running shoes; sneakers, 
john,n.,customer of a  prostitute, 
john,n.,toilet;  bathroom; restroom, 
John Wayne,v.,try to be a  hero; be heroic; ham it up for the media, 
joint,n.,prison; jail, 
joint,n.,marijuana  cigarette, 
joint,n.,bar; tavern;  grill, 
joint,n.,low-quality  place for food or drink, 
jonesing,n.,need for drugs;  need for anything in particular.,He was jonesing for some smack.
juice,n.,electricity;  power, 
juice,n.,interest paid  to organized crime on a loan, 
jump,v.,physically  attack or assault somebody, 
jump,v.,have sex with  somebody, 
jump start,n.,starting one  car by using power (via jumper cables) from another car, 
jump street,n.,start;  beginning; outset (of something), 
junk,n.,drugs (heroin  in particular), 
junk it,v.,discard it; get  rid of it, 
junkie,n.,addict, 
junkie,n.,drug user; drug  addict, 
just off the boat,adj.,newly arrived  (usually from another country), 
K,n.,thousand (of  anything).,I make three K per week doing this.
kawabunga,exclam.,"yeah;  horray; yippee (an expression of excitement or enthusiasm, popularized in the  TV series ""The Simpsons"")", 
keep one's cool,v.,"remain relaxed,  calm, under control", 
keester,n.,buttocks, 
keg party,n.,party or event  at which beer is served from a keg (barrel-sized container of beer), 
kegger,n.,party or event  at which beer is served from a keg (barrel-sized container of beer), 
kevork,v.,ban a person  from a Web site or other place online, 
kewl,adj.,"good; great;  excellent (alternate spelling for ""cool"")", 
keyster,n.,buttocks, 
kick,n.,good feeling or  pleasure derived from something, 
kick around,n.,have nearby; be  in one's position, 
kick back,n.,bribe; money  paid to effect an outcome, 
kick back,v.,unwind; relax;  have fun, 
kick in the arse,n.,something that  motivates or gets somebody to do something, 
kick in the ass,n.,something that  motivates or gets somebody to do something, 
kick in the butt,n.,something that  motivates or gets somebody to do something, 
kick in the pants,n.,something that  motivates or gets somebody to do something, 
kick in the rear,n.,something that  motivates or gets somebody to do something, 
kick the bucket,v.,"die, pass away", 
kick the shit out of  (someone),v.,physically  attack and abuse someone, 
kick-ass,adj.,appealing;  fun; exciting, 
kick-ass,adj.,strong;  vigorous, 
kickback,n.,bribe; money  paid to effect an outcome, 
kicky,adj.,appealing;  fun; exciting, 
kiester,n.,buttocks, 
kike,n.,Jew; Jewish  person, 
killer,adj.,very amusing  or entertaining, 
killer,adj.,very unusual  or extraordinary, 
kingpin,n.,leader of a  criminal gang, 
kinky,adj.,weird;  strange; unappealing, 
kinky,adj.,"unusual,  possibly deviant (sexual activity)", 
kiss ass,v.,flatter or  toady up to someone for personal gain, 
kiss my ass,exclam.,go away;  drop dead (used to reject something or as a retort), 
kiss my ass,v.,"go away; no way  (expression of frustration, disbelief, or dismissal)", 
kiss up to,v.,flatter; be  obsequious to somebody, 
kiss-ass,adj.,obsequious or  servile, 
kiss-ass,n.,"obsequious,  servile person", 
kissyface,n.,kissing, 
klick,n.,kilometer.,The enemy is about three klicks from here.
klotz,n.,"clumsy, often  dumb, person", 
kludge,n.,sloppy or  inefficient solution to a problem in computer hardware or software, 
kludgy,adj.,"inefficient,  low-quality software", 
kluge,n.,sloppy or  inefficient solution to a problem in computer hardware or software, 
klutz,n.,"clumsy, often  dumb, perso", 
klutzy,adj.,dumb; stupid;  idiotic, 
knackered,adj.,very tired;  wiped out; exhausted, 
knickers,n.,underwear, 
knock,v.,"reject,  criticize, or berate something or somebody", 
knock back,v.,drink rapidly, 
knock one back,v.,drink alcohol;  have a drink (of alcohol), 
knock somebody up,v.,get a woman  pregnant, 
knocked up,adj.,pregnant, 
knockout,adj.,stunning;  smashing; brilliant, 
knockout,n.,highly  appealing woman or man, 
know where somebody  is coming from,v.,"understand or  comprehend a person (their ideas, situation, etc.)", 
known from,v.,have knowledge  about; be familiar with, 
knuckle sandwich,n.,striking  somebody in the mouth with the hand (i.e.: knuckles of a fist), 
knuckle-dragger,n.,"strong, dumb  male", 
konk,v.,go to sleep;  fall asleep, 
kook,n.,"peculiar,  eccentric person", 
kooky,adj.,"eccentric,  peculiar, strange", 
KP,abbr.,kitchen  patrol (i.e.: duty in the mess hall), 
K-pot,n.,standard Army  helmet made of Kevlar, 
laid-back,adj.,relaxed; at  ease; unrufffled, 
lame,adj.,inadequate;  incompetent, 
lard ass,n.,"fat person,  especially when the person has large buttocks", 
later,n.,good-bye, 
lats,n.,back muscles  (i.e.: latissimus dorsi).,Nice lats on that guy. He must work out a lot.
laundry list,n.,list of tasks  to be done, 
lay a guilt trip on,v.,berate;  criticize (somebody), 
lay a guilt trip on,v.,try to make  somebody feel guilt or remorse about something, 
leadfoot,n.,person who  drives at high speed, 
legs,n.,ground  soldiers; unit that is neither mechanized nor airborne, 
lemon,n.,"bad car,  usually new and with mechanical problems.",So what's with the new lemon law?  Does it really protect consumers from bad cars?
lemon law,n.,legal  requirements giving buyers of a lemon a means to resolve any problems, 
lid,n.,eyelid, 
lifer,n.,career military  person, 
line,n.,story;  argument; explanation, 
lip,n.,rebuttal;  argument; back talk, 
liquid bread,n.,beer, 
little shit,n.,"dumb,  unimportant person", 
livin' large,idiom.,wealthy; rich.,He's livin' large since his song  went gold.
LMAO,abbr.,laughing my  ass off, 
LOL,abbr.,little old  lady.,There's one LOL coming into the ER in five minutes.
LOL,abbr.,laughing out  loud, 
loo,n.,toilet;  bathroom; restroom, 
looney,adj.,crazy; nuts;  insane, 
looney,n.,mentally  unstable person, 
loonie,adj.,crazy; nuts;  insane, 
loonie,n.,mentally  unstable person, 
loony,adj.,crazy; nuts;  insane, 
loony,n.,mentally  unstable person, 
loose cannon,n.,"blabbermouth;  someone who says too much, often at the wrong time", 
lose one's lunch,v.,vomit; throw up, 
loser,n.,"incompetent,  undesirable person", 
love handles,n.,roll of fat  around the abdomen (usually said about men), 
low rent,adj.,unappealing  and low cost, 
lowlife,n.,"unappealing,  unreliable, cruel person", 
lox,abbr.,liquid  oxygen, 
LSD,n.,lysergic acid  diethylamide, 
LSHITIWMP,abbr.,laughing so  hard I think I wet my pants, 
LT,n.,second  lieutenant.,Ask the LT if we have to do this.
luck out,v.,be lucky; be  fortunate, 
lurker,n.,person who  reads but does not participate in an online news group or forum, 
ma deuce,n.,Browning M2 .50  caliber heavy machine gun, 
magic bullet,n.,amazing and  full-proof solution, 
make waves,v.,create trouble;  create controversy, 
make with the,v.,bring out;  reveal, 
manure,v.,deceive; lie;  con, 
map,n.,the face, 
Mary J,n.,marijuana, 
Mary Jane,n.,marijuana, 
mash-up,v.,bring together  two different Web sites or services to create a third that leverages the  benefits of each, 
max,n.,maximum;  greatest/largest possible, 
max out,v.,use up  completely.,She maxed out her credit cards shopping last weekend.
maxed out,adj.,tired;  fatigued; exhausted, 
mayo,n.,mayonnaise, 
mean,adj.,good; great;  excellent, 
meatspace,n.,"the real world,  as opposed to cyberspace.",See you in meatspace tomorrow.
mega,adj.,big; large;  substantial, 
megabucks,n.,large sum of  money.,He's making megabucks on Wall Street now.
MEGO,abbr.,my eyes  glaze over, 
mellow,adj.,at ease;  calm; relaxed, 
mellow out,v.,relax; calm  down, 
meltdown,n.,complete  collapse or failure, 
merchandise,n.,drugs, 
mesc,n.,mescaline, 
mess,n.,"dumb,  unappealing person", 
mess,n.,feces; dung.,The dog left a mess by the door.
mess,n.,dining hall;  dining area; cafeteria, 
mess hall,n.,dining hall;  dining area; cafeteria, 
mess somebody up,v.,beat or attack  somebody.,"If you don't shut up, I'm gonna mess you up."
messed up,adj.,unfair;  cruel.,That's messed up. How could he do that to you?
mickey mouse,adj.,poor quality;  lousy; unimportant, 
mickey mouse,n.,nonsense;  rubbish; foolish talk or ideas, 
middle of nowhere,n.,"remote,  isolated area (often far from even a small town)", 
miffed,adj.,upset;  distressed, 
MILF,abbr.,mother I'd  like to fuck, 
milk run,n.,routine mission  that is flown many times.,During WWII all we did was milk runs over Italy.
mitt,n.,hand, 
MMPORPG,abbr.,massively  multiplayer online role playing game (e.g.: World of Warcraft), 
Monday morning blues,n.,depressed  feeling associated with the return to work on Monday after the weekend, 
Monday morning  quarterback,n.,"advice given after  the fact, with the benefit of hindsight and otherwise not useful", 
mongo,adj.,great;  fantastic, 
moon,v.,"display one's  buttocks, usually through a window", 
moon,n.,buttocks, 
mope,v.,act sadly and  slowly, 
mope around,v.,act sadly and  slowly, 
moron,n.,"dumb, stupid person", 
moronic,adj.,"dumb, stupid", 
mosh,n.,style of dance  involving significant physical action, 
mosh pit,n.,where moshing  occurs, 
mother-fucker,n.,a person of  degernate or disgusting character.,You are a total mother-fucker who I  wouldn't trust to do anything.
mother-fucking,adj.,"extremely  frustrating, upsetting, or annoying.",I hate this mother-fucking job
motor mouth,n.,person who  speaks quickly and excessively, 
move on somebody,v.,try to seduce  or pick up somebody, 
MUD,abbr.,multi-user  dungeon, 
mug,v.,study; learn  quickly or intensively, 
mug up,v.,study hard and  quickly; bone up; cram (for an exam), 
muggle,n.,boring person;  unimaginative person, 
mum,n.,mother; mom, 
mum's the word,n.,silence;  nothing will be said on the subject.,"Shh, mum's the word. Don't say anything  to anyone."
munch out,v.,eat greedily  and quickly, 
munchies,adj.,"hunger,  usually for snack food", 
munchies,n.,"craving for  food, usually junk food", 
munchkin,n.,"small,  unimportant person", 
mung,v.,destroy; make  irreversible changes to, 
muscle,n.,power in a car, 
muscle,n.,strong person  brought in as a threat or for enforcement, 
muscle car,n.,car from the  60s and 70s that looked like a race car but was designed for use on ordinary  roads, 
mush,n.,nonsense;  rubbish; foolish talk or ideas, 
MVA,abbr.,motor  vehicle accident, 
MYOB,n.,mind your own  business, 
nada,n.,nothing;  nothing at all, 
natter,n.,chat; talk, 
natter,v.,chat; chat  casually.,They just natter all day instead of doing proper work.
neat,adj.,cool; nice;  pleasant, 
negative,n.,"something bad,  poor, or flawed", 
negatory,adj.,no; not at  all; not now, 
nerd,n.,"boring,  studious person (usually said of men or boys)", 
nerdmobile,n.,boring family  car, 
netiquette,n.,etiquette or  manners online, 
netizen,n.,person on the  Internet or Web, 
neuro,n.,neorology;  neurological service in a hospital.,Call neuro. We won't figure this out on  our own.
newbee,n.,person who is  new to the Internet, 
newbie,n.,person who is  new to a situation, 
newbie,n.,person who is  new to the Internet.,Too many newbies in this chat room today.
nick,v.,steal  something; get something, 
nick of time,adv.,at the last  minute; just before time runs out, 
NICU,abbr.,neo-natal  intensive care unit, 
NIFOC,abbr.,nude in  front of computer, 
nigga,n.,"niggar; Black  person (offensive when used by non-Blacks, but acceptable among Blacks).","What's up, my nigga?"
nigger,n.,"Black person  (offensive when used by non-Blacks, but acceptable among Blacks).","When Chris  Rock says ""nigger"", it's all right, but if Donald Trump said it, it'd  be offensive."
nip,n.,small drink of  alcohol taken quickly, 
nip,n.,Japanese;  Japanese person, 
nip out,v.,slip out; sneak  out; leave secretly and briefly, 
nix,n.,nothing;  nothing at all, 
nix,v.,stop; halt;  prohibit.,"Wait, nix that idea. It's no good."
no great shakes,adj.,not  particularly impressive or important, 
no joy,n.,no contact;  nothing identified.,"No joy, I don't see anything."
no shit,exclam.,really? no  way; not possible, 
no shit,exclam.,an  expression of disbelief or dismissal.,No shit! Did that really happen?
no way,exclam.,never; no;  not on your life, 
noggin,n.,the head (only  used for people), 
noodge,n.,"a nag; a critical,  irritating person", 
noogie,n.,using the  knucles to rub somebody's head (done among children), 
not have a pot to  piss in,idiom.,be very poor; have no money or resources.,"He hasn't  got a pot to piss in, so don't ask him for money."
not know one's ass  from a hole in the ground,v.,be ignorant; be  unaware or useless, 
not know shit about,v.,be ignorant; be  unaware or useless, 
not know shit from  shinola,v.,not know  anything useful, 
notch,n.,mark of  achievement or accomplishment, 
nudge,n.,"a nag; a  critical, irritating person", 
nugget,n.,new recruit or  cadet, 
nugget,n.,pilot on his or  her first tour of duty; new recruit or cadet in flight school, 
nuke,v.,destroy or  obliterate somebody or something, 
nuke,v.,use a microwave  oven to prepare food, 
nuke,n.,nuclear weapon, 
nuke it,v.,discard it; get  rid of it, 
number one,n.,urination (used  mostly by and about children).,"Mom, I gotta go number one real bad."
number one,adj.,best; top, 
number one,n.,oneself.,I'm  looking out for number one from now on.
number two,n.,"defacation  (used mostly by and about children).    2. Dad, I did a number two by myself.", 
numbnuts,n.,"dumb, worthless  person", 
nut,n.,"eccentric,  peculiar individual; insane person", 
nut,n.,fan or  enthusiast of something, 
nuts,adj.,crazy;  mentally unbalanced, 
nuts,exclam.,no way;  that can't be right; that's wrong.,Nuts! That can't be right.
nuts,n.,testicles, 
N-word,n.,"nigger; the word ""nigger"".",Don't use the N-word; it's really harsh.
off the hook,adj.,not at risk  anymore; not obligated or required to do something anymore, 
oh shit,exclam.,a strong  expression of shock and fear.,"Oh shit, I forgot my wallet."
OJ,abbr.,orange juice, 
old school,adj.,old  fashioned; out of date; behind the times, 
on the rocks,n.,an alcoholic  drink with ice cubes added.,"Scotch on the rocks, please."
one-off,adj.,"made, done,  or happening only one time", 
one-off,n.,something done  or happening only one time; something unique, 
oreo,n.,"black person  who adopts the lifestyle, attitudes, and such of White people", 
O-sign,n.,comatose  patient with his mouth agape, 
OTOH,abbr.,on the other  hand, 
out,v.,reveal somebody  as a homosexual, 
out of pocket,adj.,from one's own  resources, 
over-the-top,adj.,excessive;  unnecessary; exaggerated, 
pack,v.,carry or have a  gun, 
pad,n.,home; dwelling;  room where one lives, 
PAFO,abbr.,pissed  (drunk) and fell over, 
pain in the ass,n.,highly  irritating or difficult, 
pain in the butt,n.,highly  irritating or difficult, 
pain in the buttocks,n.,highly  irritating or difficult, 
pain in the neck,n.,highly  irritating or difficult, 
pain in the rear,n.,highly  irritating or difficult, 
pain in the rear end,n.,highly  irritating or difficult, 
pancake,n.,foundation  makeup as used in the performing arts, 
pancake,v.,flatten; reduce  to a flat shape.,The car got pancaked in the collision.
paper trail,n.,evidence in  written or document form that proves somebody did something, 
paper-pusher,n.,clerk;  bureaucrat; office worker, 
parental units,n.,parents; father  and mother, 
park it,v.,sit; sit down;  sit and remain sitting, 
partay,n.,party, 
party,v.,throw or have a  party; celebrate, 
party animal,n.,person who  loves parties, 
pasting,n.,defeat;  beating; loss, 
patsy,n.,victim; dupe;  person easily taken advantage of, 
paw,n.,hand, 
paw,v.,grope or touch  somebody in a sexual manner, 
payback,n.,"revenge,  retribution, just desserts", 
PB,abbr.,peanut  butter, 
PBD,abbr.,peanut  butter and dill pickle sandwich, 
PBJ,abbr.,"peanut  butter and jelly sandwich (n.b.: other forms, such as shakes, also exist)", 
PDA,abbr.,public  display of affectio, 
peanuts,n.,very little  money, 
pecker checker,n.,urologist, 
pecks,n.,pectoral  muscles; chest muscles, 
pects,n.,pectoral muscles;  chest muscles, 
peds,n.,pediatrics.,"I spent the morning on peds, taking care of little kids."
peep,n.,vocalization;  noise; sound, 
peepers,n.,eyes, 
pencil in,v.,schedule  something tentatively, 
