Idiom,Meaning,Example,Part_of_Speech
daffy,mildly  eccentric; silly, ,adj.
daft,foolish; silly, ,n.
dagwood,huge sandwich, ,n.
daisy cutter,"bomb (BLU-82,  15,000 lbs.) that burns away everything on the ground when detonated at a few  feet about ground level", ,n.
damage,cost; amount of  a bill, ,n.
dame,woman (old term  but still occasionally in use), ,n.
damn,curse; doom.,Damn you. How could you do that?,v.
damn it,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,Damn it. I lost my car keys.,idiom.
damn it to all hell,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,"Aw, damn it to all hell. My car was stolen.",idiom.
damned,irritating;  annoying; frustrating.,That damned cat won't do anything I say.,adj.
darn,damn (used  in place of damn to express anger or frustration), ,exclam.
DD,designated  driver, ,abbr.
DDK,designated  drunk, ,abbr.
dead,quiet;  nothing happening; lifeless, ,adj.
dead,extremely;  totally; completely (used with adjectives to give emphasis).,You're dead  wrong about that.,adv.
dead meat,dead person  (usually made in threat form), ,n.
dead president,paper money  (U.S.), ,n.
deck,knock someone  to the ground, ,v.
deejay,disc jockey, ,n.
deep pockets,a person with a  lot of money.,"They've got deep pockets, so it's not a waste of money for  them.",n.
def,cool; nice;  excellent, ,adj.
def,cool;  wonderful; terrific, ,adj.
deli,of or like a  delicatessen, ,adj.
deli,delicatesse, ,n.
delish,delicious  (abbreviated form), ,adj.
delts,deltoid muscles  (shoulder muscles), ,n.
delts,"deltoid  muscles, particularly when well developed", ,n.
demi-veg,quasi-vegetarian;  part-time vegetarian, ,n.
desk jockey,person who  works at a desk in an office, ,n.
deuce,2.5 ton truck;  medium-sized truck for cargo (from â€œdeuce and a halfâ€), ,n.
deuce and a half,2.5 ton truck;  medium-sized truck for cargo, ,n.
diarrhea of the mouth,alleged medical  condition when someone speaks excessively, ,n.
dicey,risky;  difficult; tricky, ,adj.
dick,detective, ,n.
dick,dumb person  (usually a man), ,n.
dick,nothing;  nothing at all, ,n.
dick,penis, ,n.
dick,the penis, ,n.
dick,have sexual  intercourse with a woman, ,v.
dick around,waste time;  mess around, ,v.
dickhead,stupid person, ,n.
diddly-shit,nothing at all;  worthless; useless, ,n.
diddly-squat,nothing;  nothing at all, ,n.
diddly-squat,nothing;  nothing at all.,You don't know diddly-squat about this.,n.
dig,comprehend;  understand; appreciate, ,v.
digs,home, ,n.
dike,lesbian, ,n.
dimple,dent in a car, ,n.
ding,dent; damage;  bump into (something), ,v.
ding-dong,dumb person  (male or female), ,n.
ding-dong,penis, ,n.
dipshit,jerk; twit; oaf, ,n.
dipstick,jerk; twit; oaf, ,n.
dirt,scandal; story  with sordid details, ,n.
dirt,"worthless,  pathetic people", ,n.
dish,sexually  appealing woman, ,n.
dishy,sexy;  sexually appealing (said of women), ,adj.
ditch,get rid of;  abandon (somebody or something).,"Oh, just ditch him. No one wants him  anyway.",v.
ditsy,spacey; flakey;  absentminded person, ,adj.
ditzy,spacey;  flakey; absentminded person, ,adj.
ditzy,"person who is  spacey, flakey, or absentminded (usually applied to women)", ,n.
DNR,do not  resuscitate (in case of cardiac arrest or other systemic failure).,There's a  DNR order on his chart.,abbr.
do,hairdo;  hairstyle, ,n.
do,party; event, ,n.
do,serve a  particular purpose well, ,v.
do,have sexual  relations, ,v.
do a job on,destroy; ruin;  harm (somebody or something), ,v.
do a number on,betray; deceive  (somebody or something), ,v.
do lunch,eat lunch with  another perso, ,v.
doc-in-a-box,a small  emergency medical clinic.,He injured his finger and got it stiched at a  doc-in-a-box.,n.
doctor shopping,practice of  going from doctor to doctor to obtain prescriptions for pharmaceuticals, ,n.
dodgy,dangerous;  risky, ,adj.
dodgy,dishonest.,"Seems a bit dodgy to me, that guy.",adj.
dodgy,unreliable or  poor (quality), ,adj.
dog,berate;  criticize (someone), ,v.
dog,pursue; stalk;  track (someone).,Stop dogging me. Leave alone.,v.
dog,ugly woman, ,n.
dog days,"very hot, sunny  days in August", ,n.
dog meat,dead person  (usually made in threat form), ,n.
doggie bag,a small  container of food leftover from a meal at a restaurant.,I'll take home the  rest in a doggie bag.,n.
doggie bag,bag or  container for leftovers in a restaurant so they can be eaten at home, ,n.
doggy bag,bag or  container for leftovers in a restaurant so they can be eaten at home, ,n.
d'oh,"damn;  shit; ouch (popularized in ""The Simpsons"").","Don't say  ""d'oh"". You sound like Homer Simpson. Alternative spelling: duh",exclam.
doll,woman (old term  but still occasionally in use), ,n.
dome of obedience,helmet made of  Kevlar, ,n.
Dominoid,person who  works at Domino's Pizza, ,n.
donorcycle,"motorcyle to medical practitioners, so called because of the high rate of death caused by riding on them, which results in organs available for donation", ,n.
doo,hairdo;  hairstyle, ,n.
doo-doo,dung; feces;  shit, ,n.
doofus,jerk; twit; oaf, ,n.
dope,dumb person, ,n.
dope,gossip; news;  informatio, ,n.
dope,"drugs,  especially marijuana or heroin", ,n.
dork,"worthless, dumb  person", ,n.
dorkette,"female dork;  dumb, incompetent woman", ,n.
dorky,weird;  strange; unappealing, ,adj.
dosh,money; cash, ,n.
double dipper,person who  receives compensation inappropriately from two sources, ,n.
douche bag,"horrible,  retched person", ,n.
dough,money; cash.,Where'd you get the dough to pay for that TV?,n.
down,finished;  done, ,adj.
down,in a losing  position; having the lesser score, ,adj.
down,eat or drink  rapidly, ,v.
down and out,having no  money or place to live; in the gutter, ,adj.
downer,"a  disappointing, depressing event or situation", ,n.
downer,depressants, ,n.
DQ,Dairy Queen, ,abbr.
drag,"dull,  annoying person", ,adj.
drag,puff of a  cigarette, ,n.
drag,"something boring,  dull, unentertaining, or uninteresting", ,n.
drag,"women's  clothes, when worn by men", ,n.
drag,inhale or puff  on a cigarette, ,v.
dragster,car for drag  racing, ,n.
drat,darn (used  in place of damn to express anger or frustration), ,exclam.
dreck,dirt; feces; crap;  garbage, ,n.
drink,use gasoline  (said of cars), ,v.
drop,knock someone  to the ground, ,v.
drop the ball,blunder; fail, ,v.
druggie,drug user; drug  abuser, ,n.
duby,"marijuana Alternative spelling: dooby, doobie", ,n.
dude,male friend;  guy (also used to address a man), ,n.
dullard,"dumb, idiotic person", ,n.
dumb-ass,dumb; stupid;  idiotic, ,adj.
dumb-ass,"dumb, idiotic  person", ,n.
dumbfuck,"stupid, idiotic  person", ,n.
dummy,"dumb, idiotic  person", ,n.
dump,act of moving  one's bowels, ,n.
dump on,criticize or  scold somebody, ,v.
dupe,"target for  deception, lying, or a con", ,n.
dupe,"fool, trick, or  swindle somebody", ,v.
dust,win by a large  margin, ,v.
dust,cocaine, ,n.
dust,PCP, ,n.
dust-up,fight;  conflict.,I had a little dust-up with my boss yesterday.,n.
dweeb,very  hardworking student, ,n.
dyke,lesbian, ,n.
dynamite,good; great;  excellent (not used much anymore), ,adj.
E,Ecstasy  (methylenedioxymethamphetamine; MDMA), ,n.
earful,large quantity  of gossip, ,n.
earful,scolding;  tirade; verbal assault, ,n.
eary-bird special,meal at reduced  price in a restaurant for patrons who arrive early, ,n.
easy as pie,simple; very easy.,This job is easy as pie. No  problems.,idiom.
easy mark,"somebody easily  fooled, tricked, or deceived", ,n.
eat,pay for the  costs or expenses associated with something, ,v.
eat,worry or bother  (somebody).,What's eating you? Why so upset?,v.
eat,perform oral  sex, ,v.
eat shit and die,take what is  coming to you; take what you deserve (, ,abbr.
eco freak,somebody  greatly concerned about the state of the environment, ,n.
eco nut,somebody  greatly concerned about the state of the environment, ,n.
effing,fucking, ,adj.
effinig around,fucking around, ,v.
eighty-six (86),eliminate  someone or something; nix.,86 it.,v.
el cheapo,"cheap,  inexpensive", ,adj.
el cheapo,"cheapest one,  choice, or option", ,n.
el-tee,second  lieutenant, ,n.
emo,"overly emotional, mushy, or sentimental", ,adj.
empty calories,food with  little or no nutritional value, ,n.
enforcer,bodyguard;  thug; tough guy, ,n.
"enough, already",stop what  you are doing; that is sufficient, ,exclam.
EPW,enemy prisoner  of war, ,n.
evil,excellent;  good, ,adj.
excellent,"good,  great, terrific", ,exclam.
eyeball,"look closely  at, stare at, examine visually", ,v.
eyepopper,something or  somebody very appealing, ,n.
eyepopping,very  appealing or attractive, ,adj.
F2F,face to face, ,n.
fab,fabulous  (abbreviated form), ,adj.
fab,fabulous;  terrific, ,adj.
face man,handsome man  with little personality, ,n.
face time,"time in which  two people meet in person, as opposed to communicating by email or telephone", ,n.
face-off,confrontation  (from sports), ,n.
fade,leave; depart;  go away, ,v.
faff,ineffective  action or activity, ,n.
faff,do something  ineffectively, ,v.
faff about,do something  ineffectively, ,v.
fag,male homosexual, ,n.
faggot,male homosexual, ,n.
fairy,male homosexual, ,n.
falsies,artificially  enlarged breasts (either through surgery or padding).,"Nice falsies on her,  but I'd rather have the real thing.",n.
family jewels,testicles.,Careful with the family jewels.,n.
fancy,like; find  appealing; enjoy.,You fancy him? Why? He's such a nerd.,v.
FAQ,frequently  asked questions, ,abbr.
far out,cool; nice;  excellent, ,adj.
far out,rarefied;  obscure; difficult to comprehend, ,adj.
fart,sound or smell  or a release of intestinal gas, ,n.
fart,release gas.,Who farted?,v.
fart,"dumb,  undesirable person (usually male).",Who's that old fart?,n.
fart around,waste time;  mess around, ,v.
fart sake,bedroll;  sleeping bag, ,n.
fascinoma,"any interesting  or amusing medical condition, particularly tumors and malignancies", ,n.
fast buck,easy money;  income easily earned, ,n.
fast mover,high-speed  aircraft or ground vehicles, ,n.
fast track,path of rapid  rise through an organization or situation, ,n.
fast-track,move something  or somebody quicky through an organization or situation, ,v.
fat,well-stocked;  having sufficient or excess of something.,He's fat with cash now that he  received his bonus.,adj.
fat lip,swollen lip  resulting from a blow to the mouth, ,n.
fat-ass,said of a person  with a large butt, ,adj.
fat-assed,said of a  person with a large butt, ,adj.
FCOL,for crying  out loud, ,abbr.
fender-bender,minor collision  between automobiles, ,n.
fiddlesticks,drat; darn  (used in place of shit to express anger or frustration), ,exclam.
F-ing,fucking, ,adj.
F-ing around,fucking around, ,v.
fink,informer;  someone who reveals secrets, ,n.
fink on somebody,betray  somebody; reveal secrets about somebody, ,v.
first base,the act of  kissing (as a step in increasing levels of sexual intimacy).,First base? Is  that all? Just kissing?,n.
first daddy,first sergeant, ,n.
first shirt,first sergeant, ,n.
five by five,okay; all's well; all's good; everything is fine.,Five by five. We're ready to start.,idiom.
five-finger discount,shoplifting;  stealing from a store, ,n.
fix,bribe; money  paid to effect an outcome.,The fix is i,n.
flack,criticism;  complaints, ,n.
flak,criticism;  complaints, ,n.
flake,"a silly, giddy  perso", ,n.
flaky,spacey;  absentminded; unreliable, ,adj.
flame,angry message  or personal attack online, ,n.
flame,post an angry  message or personal attack online, ,v.
flame war,exchange of  angry messages or personal attacks online, ,n.
flash,a sudden idea  or memory.,I had a flash of inspiration this morning.,n.
flash,very brief  amount of time.,It happened in a flash.,n.
flash,show or reveal  something briefly, ,v.
flash-to-bang time,"interval from  an artillery gunâ€™s recoil to the explosion of the shell fired (the shorter,  the better in combat)", ,n.
flat,carbonated  beverage that has lost its carbonizatio, ,adj.
flat,said of a  woman with small breasts, ,adj.
flat-chested,said of a  woman with small breasts, ,adj.
flea,internist;  doctor who specializes in internal medicine, ,n.
flexitarian,vegetarian who  sometimes eats meat or fish, ,n.
flick,"movie, film.",Let's see a flick tonight.,n.
flip,go crazy; go  nuts, ,v.
flip one's lid,go crazy; go  nuts, ,v.
flip one's wig,go crazy; go  nuts, ,v.
flip out,go crazy; go  nuts; lose control, ,v.
flip side,"other side of a  story, argument, or claim", ,n.
flip side,"return trip,  esp. for a long trip", ,n.
flip side,opposite side  of a phonograph (vinyl) record, ,n.
FLK,funny-looking kid (used in nursery), ,abbr.
flub something up,mess up; make  mistakes; do something incorrectly, ,v.
fly,stylish;  attractive; appealing, ,adj.
flying,under the  influence of drugs, ,adj.
foam,beer, ,n.
fob,attempt to  satisfy somebody using deception, ,v.
FOB,forward  operating base, ,abbr.
fobbit,soldier in a safe  place; soldier who never leaves the FOB (forward operating base), ,n.
FOOBAR,"fucked up  beyond all recognition; very gravely damaged or in very poor condition (n.b.:  the ""oo"" reflects the pronunciation of the acronym).",The project?  Totally fubar.,abbr.
fooey,nonsense;  rubbish; foolish talk or ideas, ,n.
foot it,walk or run  somewhere, ,v.
footy,"football  (soccer to Americans, though more vigorous and even violent than the soccer  played elsewhere)", ,n.
Fort Living Room,home; civilian  life, ,n.
fossil,"old-fashioned,  outmoded person", ,n.
fox,"attractive,  sexy young woman (though sometimes said of men)", ,n.
fox,fire a weapon  (from an aircraft), ,v.
foxy,sexy (for  women in particular), ,adj.
foxy lady,sexy woman, ,n.
frag,fragmentation  grenade, ,n.
frag,wound or kill  using a fragmentation grenade, ,n.
fragged,"damaged,  destroyed, ruined", ,adj.
frak,"fuck (from the  TV series ""Battlestar Galactica; all variants of fuck are reproduced with  frak)", ,n.
frankenfood,genetically  engineered or modified food, ,n.
frantic,"fun, wild,  amazing", ,adj.
freak,lose control;  panic, ,v.
freak,frequency (for  radio communications), ,n.
freak out,lose control;  panic, ,v.
freak somebody out,"stun, surprise,  or shock somebody", ,v.
freaked,stunned;  shocked; surprised, ,adj.
freaked out,stunned;  shocked; surprised, ,adj.
freaking,unsuitable;  unacceptable; upsetting, ,adj.
freebasing,smoking crack  cocaine, ,n.
freebee,something free, ,n.
freebie,something free, ,n.
freegan,person who only  eats food that can be gotten for free, ,n.
freeze,ignore or  reject somebody, ,v.
frell,"fuck (from the  TV series ""Farscape""; all variants of fuck are reproduced with frell)", ,n.
French,of or  pertaining to oral sex, ,adj.
French,oral sex (the  act itself), ,n.
French,kiss using the  tongue, ,v.
French,perform oral  sex on somebody, ,v.
French kiss,kissing with  the tongue, ,n.
French kiss,kiss using the  tongue, ,v.
fresh,stylish; new;  appealing, ,adj.
fresh off the boat,newly arrived  (usually from another country), ,adj.
Freud squad,psychiatrists, ,n.
fricking,poor; lousy;  frustrating, ,adj.
friendlies,"allies, whether  civilian or military", ,n.
frigging,poor; lousy;  frustrating, ,adj.
frigid,sexually  disinterested; not into sexual activity.,"She's so frigid, she won't even  kiss me.",adj.
frikking,"annoying;  irritating; damned (from ""fucking"")", ,n.
from the get-go,from the  outset; from the start, ,adj.
frosty one,beer (esp. cold  beer), ,n.
froth,beer, ,n.
fruit,male homosexual, ,n.
fruit salad,rows of  campaign ribbons on a uniform, ,n.
fruitcake,male homosexual, ,n.
fruitcake,person who acts  childish or silly, ,n.
fruity,of or  pertaining to silly behavior, ,adj.
FUBAR,fucked up  beyond all recognition; very gravely damaged or in very poor condition, ,abbr.
fuck,sexual  intercourse.,She's a great fuck.,n.
fuck,have sexual  intersource with.,They fucked all night long.,v.
fuck,"strong  expression of frustration, anger, or impatience.","Oh, fuck, I forgot.",exclam.
fuck,damage or ru, ,v.
fuck (someone) over,take advantage  of; exploit; abuse.,Don't try to fuck me over.,v.
fuck (something) up,damage or  mangle something.,I totally fucked up the test.,v.
fuck about,"spend time  doing minor, irrelevant things.","Stop fucking about, you've got work to do.",v.
fuck around,"spend time  doing minor, irrelevant things.",Don't fuck around anymore.,v.
fuck friend,a friend one  has sexual relations with; a friend with benefits.,I'm off to see my fuck  friend for some fun.,n.
fuck it,"strong  expression of frustration, anger, or impatience.","Fuck it, I've had it.",exclam.
fuck like bunnies,have sex regularly  and repeatedly, ,v.
fuck like rabbits,have sex  regularly and repeatedly, ,v.
fuck me,"strong  expression of surprise, shock, or dismay.",Fuck me. I don't believe it.,exclam.
fuck off,imp. go away;  shove off.,"Fuck off, all of you, right now.",v.
fuck up,make an error;  screw up; make a mistake; do something badly or incorrectly.,We really  fucked up,v.
fuck with somebody,threaten  somebody; mess with somebody; irritate somebody, ,v.
fuckwit,"dumb, stupid person", ,n.
fuck with something,tinker or play  with something, ,v.
fuck you,imp. strong  expression of anger directed at someone.,Fuck you. I'm sick and tired of  your shit.,v.
fucker,a person with  many negative traits (used pejoratively or disparagingly; rarely used for  women).,He's suck a fucker.,n.
fucking,the act of  having sexual intercourse.,Their fucking is so incredibly noisy it kept me  up all last night.,n.
fucking,"used to  emphasize or stress the importance of the following words; very, extremely  (intonation indicates if good or bad is meant).",You're fucking nuts; I can't  believe this fucking weather.,adj.
fucking A,a strong  expression of satisfaction or delight.,A raise!? Fucking A!,exclam.
fuck-me shoes,very high heels  that make a woman sexier, ,n.
fudge,drat; darn  (used in place of fuck to express anger or frustration), ,exclam.
fudge packer,man who engages  in anal sex with another man, ,n.
fugly,fat and ugly, ,adj.
full bird,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", ,n.
full bull,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", ,n.
full of it,"lying; dumb  (from ""full of shit"").","He's so full of it, no one should believe  anything he says.",adj.
full of shit,lying; dumb.,You're so full of shit.,adj.
funk,depression;  depressed mood.,"Why the funk? What's wrong? 2. He's always in a funk, no  matter how good things are.",n.
funk,stench; bad  smell.,Quite a funk here. Do you ever clean this place?,n.
funky,smelly;  stinky.,What's that funky odor? Did something die? 2. The cat's litter box  is getting funky.,adj.
funky,strange;  peculiar; odd.,"""Play that funky music, white boy"" (song lyrics).",adj.
furball,chaotic combat  among many aircraft, ,n.
fuzz,police; police  officer.,"Quick, run, the fuzz is here.",n.
FWIW,for what  it's worth, ,abbr.
F-word,"the word  ""fuck"" (said to avoid using the actual word).",The F-word was  reportedly used on the Senate floor today.,n.
G,thousand  dollars, ,n.
G2G,got to go, ,abbr.
GAL,get a life, ,abbr.
gang-bang,group rape (men  on one woman), ,n.
gang-bang,many men having  sex with one woman one after another, ,n.
gangbanger,member of a  street gang, ,n.
gangsta,of or  pertaining to a gang or gang member.,Don't give me that gangsta attitude.,adj.
gangsta,or or  pertaining to gangsta rap or anything related to it, ,adj.
gangsta,member of a  gang, ,n.
gas guzzler,vehicle that  uses a lot of gasoline, ,n.
gat,gun; firearm, ,n.
gate-crasher,person who  shows up at a party uninvited, ,n.
gaydar,sense or  intuition about who is homosexual (from gay + radar).,My gaydar is never  wrong. He's homosexual.,n.
gazoo,buttocks, ,n.
g'day,"hello; how are you; how's it going (abbreviated from  ""good day"" but used in all contexts).","G'day, mate.",idiom.
gearhead,"person who  enjoys working on cars, particularly his or her own", ,n.
get a life,make major  changes to your life, ,exclam.
get bent,go away;  drop dead (used to reject something or as a retort), ,exclam.
get cracking,hurry up; get a  move on; get started, ,v.
get down,concentrade  hard, ,v.
get down,have sexual  relations, ,v.
get fucked,have sexual  intersource with someone.,I got fucked last night,v.
get fucked,be exploited or  taken advantage of.,We were totally fucked by that computer saleman.,v.
get hooked,become addicted  (usually to drugs), ,v.
get into something,become very  interested in something, ,v.
get it,be punished or  chastized.,You're gonna get it if you don't stop now.,v.
get it,"understand (a  joke, information, an idea)", ,v.
get it on,have sexual  relations, ,v.
get it up,achieve  erection, ,v.
get made,be identified  as; be caught as.,He got made as a cop and was killed.,v.
get made,become part of  a group; be allowed to join a group.,He got made in the Mafia when he was  only seventeen.,v.
get naked,enjoy oneself a  lot; relax, ,v.
get off,derive pleasure  (from doing something), ,v.
get off my ass,stop it; leave  me alone; let me be, ,v.
get off my back,stop it; leave  me alone; let me be, ,v.
get on,have (usually  good) relations with somebody, ,v.
get on in years,grow old;  become older, ,v.
get one's rocks off,have sexual  relations; ejaculate (said of men only), ,v.
get one's shit  together,become  organized; gather one's possessions, ,v.
get out of here,no way;  that can't be right; that's wrong, ,exclam.
get out of my face,do not  argue with me; make room; make space, ,exclam.
get real,behave or act  practically.,"Oh, come on, get real, will you?",v.
get somebody's motor  running,excite  somebody; make somebody enthusiastic or sexually aroused, ,v.
get to first base,kiss someone.,I got to first base with her last night.,v.
get to somebody,"irritate,  annoy, or bother somebody.","He really got to you, didn't he?",v.
get with it,hurry up; get a  move on; get started.,"Get with it already, we've got to go.",v.
get with it,make one's  ideas and actions current.,"Come on, get with it. You're so behind the times.",v.
get your ass in gear,get  moving; get going; get started.,Get your ass in gear. It's time for school.,exclam.
ghetto blaster,"large, portable  stereo radio/cassette/CD player.",Turn down that damn ghetto blaster.,n.
ghetto box,"large, portable  stereo radio/cassette/CD player", ,n.
gig,a one-shot job  or task (said often by people in the entertainment business), ,n.
gimp,person who  limps; a crippled person, ,n.
git-go,the start; the  absolute beginning, ,n.
give a flying fuck,not care at  all; have absolutely no interest whatsoever.,Who gives a flying fuck? 2. Why  should I give a flying fuck about that?,v.
give a shit,care; have an  interest in (usually used with a negative connotation).,Like I give a shit.  2. I don't give a shit.,v.
give it a rest,shut up; stop  talking; stop talking about something, ,v.
give it up,stop now; quit  now, ,v.
give me a break,that's enough;  lay off; no more, ,v.
give me five,a request to  touch hands as a form of greeting or agreement, ,v.
give me some skin,a request to  touch hands as a form of greeting or agreement, ,v.
give some sugar,kiss  affectionately (used by older people toward children; not common), ,v.
GJ,grapefruit  juice, ,abbr.
glad rags,fancy clothing;  one's best closthing (anachronistic), ,n.
glad-hand,treat somebody  very enthusiastically, ,v.
glad-hander,somebody who is  very enthusiastic and friendly, ,n.
glitch,defect; flaw;  bug; problem, ,n.
glitz,"glamour;  flashy, showy style", ,n.
glitzy,glamourous or  stylish in a flashy way, ,adj.
GLM,good-looking  mother (used in pediatrics), ,abbr.
GMTA,great minds  think alike, ,abbr.
gnarly,dangerous;  risky.,"Gnarly waves today, you know.",adj.
go,an attempt; a  try, ,n.
go apeshit,become excited  or upset.,He went apeshit when he heard he was going to be laid off.,v.
go bananas,"become slightly  anxious, agitated, or crazy", ,v.
go belly up,die, ,v.
go belly up,fail; perform  poorly, ,v.
go belly-up,fail; go  bankrupt.,Enron went belly up after it's scandal.,v.
go belly-up,fail; go  bankrupt, ,v.
go blooey,fail; fall  apart; cease to function, ,v.
go climb a tree,go away; get  out, ,v.
go down,be accepted or  received, ,v.
go down,happen; occur;  take place, ,v.
go down in flames,fail  dramatically, ,v.
go down on somebody,give oral sex  to somebody, ,v.
go down the chute,faill  completely, ,v.
go down the tube(s),faill  completely, ,v.
go flooey,fail; fall  apart; cease to function, ,v.
go fly a kite,go away; get  out, ,v.
go for it,give it a try;  do it;, ,v.
go fuck yourself,a strong insult  intended to reject or disparage another perso, ,v.
go home in a box,be transported  back home in a coffin (i.e.: dead), ,v.
go jump in a lake,leave; get out; go away.,Go jump in a lake. No one  wants you here.,idiom.
go jump in a lake,go away; get  out, ,v.
go postal,go berserk; go  crazy; become violent, ,v.
gob,mass or hunk of  something; a large amount of something, ,n.
gofer,somebody whose  job is to fetch or bring trivial items to more important people, ,n.
GOK,God only  knows (what is wrong with the patient), ,abbr.
gold brick,avoid work;  hide from a task or assignment.,Stop gold bricking and get back to work.,v.
gold digger,woman seeking a  relationship partner for money, ,n.
golden,cool; nice;  excellent.,We're golde,adj.
Golden State,California, ,n.
gomer,"dumb, oafish  person", ,n.
gomer,"person thrown  out of an emergency room due to repeated or inappropriate visits (short for  ""get out of my ER"")", ,n.
gone,asleep;  unconscious, ,adj.
gonzo,out of  control; wild, ,adj.
gonzo,foolish or  silly person, ,n.
goo,sticky  substance, ,n.
goober,pimple, ,n.
good fuck,a person who  performs well sexually (usually used to describe a woman).,"She's a good  fuck, but otherwise a pain.",n.
good vibes,positive  feelings, ,n.
goodie,"something good,  favored, or appealing", ,n.
goody,"something good,  favored, or appealing", ,n.
goody two-shoes,person who  follows all the rules and expectations of society and culture perfectly.,Don't be such a goody two-shoes. You never do anything fun.,n.
goof,error; mistake;  blunder.,What a goof! I'll never be able to fix it in time.,n.
goof around,waste time;  mess around.,Stop goofing around and get some work done.,v.
goof off,waste time;  mess around, ,v.
goof up,make errors;  mess up, ,v.
goofball,foolish or  silly person who wastes time.,You're such a goofball. You'll never amount to  anything.,n.
goofus,"dumb, oafish  person", ,n.
goofy,silly;  inanely, ,adj.
google,use Google or a  similar search engine find something online, ,v.
gook,Korean; Korean  person, ,n.
goombah,good friend;  pal, ,n.
goose egg,zero; score of  zero.,My score on the test: goose egg.,n.
gopher,somebody whose  job is to fetch or bring trivial items to more important people, ,n.
gorilla juice,steroids;  anabolic steriods, ,n.
Gorillas in the Mist,pissed;  drunk; intoxicated, ,adj.
gorked,anesthetized;  unresponsive and not speaking, ,adj.
gorp,"trail mix, i.e.  a mixture of dried fruit, nuts, and small candies", ,n.
gotcha,you are caught;  I see what you are doing; I understand what you are saying, ,n.
GPO,good for  parts only, ,abbr.
GR8,great minds  think alike, ,abbr.
grand,thousand  dollars.,I paid three grand for that plasma T,n.
gravy train,work situation  that provides stable income, ,n.
grease,protection  money paid to organized crime groups, ,n.
greaser,aggressive  young male (often with air slicked back with grease), ,n.
greasy spoon,restaurant with  poor quality food and hygeine, ,n.
green,inexperienced; without know-how, ,adj.
green,raw;  inexperienced; new to something, ,adj.
grinder,"sandwich made  with Italian bread sliced lengthwise, filled with cold cuts, cheese, and  vegetables (used in the Boston area)", ,n.
gripe,complain, ,v.
grit,verve; courage.,"""True Grit"" (movie title). 2. Show some grit and fight.",n.
grody,repulsive;  disgusting, ,adj.
grody to the max,extremely  repulsive or disgusting, ,adj.
grok,understand;  comprehend, ,v.
groovy,cool; nice;  excellent (anacrhonistic), ,adj.
gross,disgusting;  repulsive; vulgar, ,adj.
gross somebody out,"show or tell somebody  something disgusting, repulsive or vulgar", ,v.
gross-out,"something  disgusting, repulsive, or vulgar", ,n.
grottiness,low quality;  unpleasantness, ,n.
grotty,low quality;  unpleasant, ,adj.
ground-pounder,infantryman, ,n.
grub,"hardworking,  serious student", ,n.
grub,"messy, dirty  perso", ,n.
grub,food.,What  does someone have to do in this diner to get some grub?,n.
grub,food; meal, ,n.
grubby,messy; dirty;  unclean; unkempt, ,adj.
grunt,infantryman;  now also used to mean a government reject unfit for normal training., ,n.
GSW,gunshot  wound, ,abbr.
guber,pimple, ,n.
gults,gluteus maximus  muscles (buttocks muscles), ,n.
gun,bodyguard;  assassin; hired gunman, ,n.
gun,rev up an  engine, ,v.
gun bunny,artilleryman, ,n.
gunk,"disgusting,  messy substance of any sort", ,n.
gunner,"hardworking,  serious student", ,n.
gunner,medical student  working hard for high grades or evaluations, ,n.
gusto,verve; courage, ,n.
gut,fundamental;  basic, ,adj.
gut,abdomen; belly;  intestines, ,n.
gut,fat belly on a  man, ,n.
gut out,endure;  persist; persevere, ,v.
guts,verve; courage.,"He's got guts, arguing with the judge in court.",n.
guzzler,vehicle that  uses a lot of gasoline, ,n.
habu,pilot of the  SR-71, ,n.
habu,SR-71 (also  called the Blackbird) aircraft, ,n.
hack,cough, ,n.
hack,author or  writer who creates material (often of low quality) to order.,He's just a  hack and can't really write well.,n.
hack,taxi; taxicab, ,n.
had,deceived;  cheated; swindled, ,adj.
hairy,risky;  difficult; tricky, ,adj.
half-assed,awkward;  inefficient; useless, ,adj.
half-pint,"very short,  usually slender peson (typically male)", ,n.
halvsies,two people  each paying for half of something (often a meal), ,adj.
hammer,accelerator  pedal in a vehicle, ,n.
hammy,hamstring(s).,I pulled a hammy while running away from that mugger.,n.
hand job,sexual  stimulation of a penis, ,n.
hang a left,make a left  turn, ,v.
hang a right,make a right  turn, ,v.
hang five,surf while  standing towrd the front of the board, ,v.
hang it,damn it;  darn it (said to express frustration or exsaperation), ,exclam.
hang loose,be cool; relax;  be calm, ,v.
hang ten,surf while  standing towrd the front of the board, ,v.
hang tough,maintain one's  ideas or attitudes, ,v.
hang-up,problem;  obsessoin; concern(s), ,n.
hard up,"desperate for  company, attention, or affectio", ,adj.
hard-on,erection  (penile), ,n.
hard-pressed,difficult;  under pressure; with difficulty.,I'd be hard pressed to loan you any money  because I've got so little.,adj.
hardware,weapons; guns, ,n.
harsh,rude; cruel, ,adj.
has-been,person who used to be famous or popular but is now almost forgotten, ,n.
hate somebody's guts,hate somebody  with a passion, ,v.
haul ass,move quickly  out of a location, ,v.
haul asss,hurry out of a  place.,Time to haul ass out of here before the cops show up.,v.
